formula,band gap
AgNbLaAlO6,4.1645432
AgNbLaGaO6,4.454628775
AgNbLaInO6,4.192522296
AgNbMgTiO6,3.963856895
AgNbSnTiO6,2.881239408
AgNbYAlO6,3.958215489
AgTaAgNbO6,3.367340076
AgTaBaSnO6,4.115527804
AgTaBaTiO6,3.65187538
AgTaCaGeO6,4.596741977
AgTaCaSiO6,4.787204683
AgTaCaSnO6,4.567418298
AgTaCaTiO6,3.856408782
AgTaCsNbO6,3.257419299
AgTaCsVO6,2.169553701
AgTaGaNbO6,1.784718332
AgTaGaTaO6,2.285462409
AgTaKNbO6,3.43280078
AgTaKSbO6,4.253437286
AgTaLaAlO6,4.544527043
AgTaLaGaO6,4.428479438
AgTaLaInO6,4.598427211
AgTaLiNbO6,3.554350261
AgTaLiVO6,1.661856626
AgTaMgTiO6,4.541470588
AgTaNaNbO6,3.523501827
AgTaNaSbO6,4.383274568
AgTaNaVO6,1.67087028
AgTaPbHfO6,4.468824182
AgTaPbTiO6,3.806312329
AgTaPbZrO6,4.43593134
AgTaRbNbO6,3.372019754
AgTaSnHfO6,3.676099376
AgTaSnTiO6,3.280047217
AgTaSnZrO6,3.671961049
AgTaSrGeO6,4.544428383
AgTaSrSiO6,4.692218139
AgTaSrSnO6,4.170643623
AgTaSrTiO6,3.79098509
AgTaTlNbO6,1.792464465
AgTaYAlO6,4.914572548
BaHfAgNbO6,4.078047088
BaHfAgTaO6,4.189891965
BaHfBaSnO6,6.081554918
BaHfBaTiO6,4.617955975
BaHfBaZrO6,6.343123966
BaHfCaGeO6,6.350080917
BaHfCaHfO6,7.105780282
BaHfCaSiO6,7.124555422
BaHfCaSnO6,6.149864419
BaHfCaTiO6,4.881718641
BaHfCaZrO6,6.793831407
BaHfCsNbO6,4.17192157
BaHfCsTaO6,4.954141388
BaHfCsVO6,2.024082776
BaHfGaNbO6,2.740038109
BaHfGaTaO6,3.468891843
BaHfInNbO6,1.490876326
BaHfInTaO6,2.148573734
BaHfKNbO6,4.237405144
BaHfKSbO6,5.319984256
BaHfKTaO6,5.043565766
BaHfLaAlO6,6.842296397
BaHfLaGaO6,7.087096038
BaHfLaInO6,6.388361955
BaHfLaScO6,7.259237807
BaHfLiNbO6,4.346862988
BaHfLiTaO6,5.156989314
BaHfLiVO6,1.950932284
BaHfMgTiO6,5.157325978
BaHfMgZrO6,7.180769915
BaHfNaNbO6,4.323594526
BaHfNaSbO6,5.605111851
BaHfNaTaO6,5.133972612
BaHfNaVO6,1.943310423
BaHfPbHfO6,5.861282859
BaHfPbTiO6,4.716210837
BaHfPbZrO6,5.798471802
BaHfRbNbO6,4.19891716
BaHfRbTaO6,4.999203073
BaHfSnHfO6,5.154654591
BaHfSnTiO6,4.117831884
BaHfSnZrO6,5.129260058
BaHfSrGeO6,6.108099686
BaHfSrHfO6,6.703417504
BaHfSrSiO6,7.100622387
BaHfSrSnO6,6.260326191
BaHfSrTiO6,4.711382223
BaHfSrZrO6,6.459329422
BaHfTlNbO6,2.787349496
BaHfTlTaO6,3.519530094
BaHfYAlO6,7.467627553
BaSnAgNbO6,4.196255316
BaSnBaTiO6,4.610173391
BaSnCaGeO6,2.613094084
BaSnCaSiO6,3.328665599
BaSnCaSnO6,3.237558695
BaSnCaTiO6,4.634935362
BaSnLaAlO6,5.229700982
BaSnLaGaO6,3.753770355
BaSnLaInO6,3.824912325
BaSnLiNbO6,4.985344912
BaSnLiVO6,2.187158914
BaSnMgTiO6,4.682433617
BaSnMgZrO6,5.534709008
BaSnNaNbO6,4.950429901
BaSnNaSbO6,1.584677745
BaSnNaVO6,2.182041303
BaSnSnTiO6,4.156500556
BaSnSrGeO6,1.902720005
BaSnSrSiO6,3.060194418
BaSnSrSnO6,2.664761815
BaSnSrTiO6,4.845106688
BaTiAgNbO6,3.238934908
BaTiCaGeO6,4.544465349
BaTiCaSiO6,4.314413855
BaTiCaSnO6,4.63511974
BaTiCaTiO6,3.834829908
BaTiCsNbO6,3.933396345
BaTiCsVO6,2.387688728
BaTiLaAlO6,4.924750863
BaTiLaGaO6,5.227039321
BaTiLaInO6,5.084089538
BaTiLiNbO6,3.463015828
BaTiLiVO6,2.517040515
BaTiMgTiO6,4.287310033
BaTiMgZrO6,5.285884852
BaTiNaNbO6,3.438581234
BaTiNaSbO6,3.997105561
BaTiNaVO6,2.180167758
BaTiSnTiO6,2.851249888
BaTiSrGeO6,4.35844875
BaTiSrSiO6,4.207262042
BaTiSrSnO6,4.859086368
BaTiSrTiO6,3.773082118
BaTiTlTaO6,2.184473305
BaTiYAlO6,4.942037308
BaZrAgNbO6,4.048794437
BaZrAgTaO6,4.158986001
BaZrBaSnO6,6.142792824
BaZrBaTiO6,4.586349916
BaZrCaGeO6,5.912270768
BaZrCaSiO6,6.640590237
BaZrCaSnO6,6.572670735
BaZrCaTiO6,4.883903763
BaZrCaZrO6,6.311282226
BaZrCsNbO6,4.133326334
BaZrCsTaO6,4.861702868
BaZrCsVO6,2.395969852
BaZrGaNbO6,2.741399812
BaZrGaTaO6,3.420362849
BaZrInNbO6,1.504016995
BaZrInTaO6,2.115610367
BaZrKNbO6,4.192233183
BaZrKSbO6,5.244987496
BaZrKTaO6,4.946851271
BaZrLaAlO6,6.675560233
BaZrLaGaO6,6.801343992
BaZrLaInO6,6.468202648
BaZrLaScO6,6.949118842
BaZrLiNbO6,4.294253113
BaZrLiTaO6,5.060782046
BaZrLiVO6,1.971169487
BaZrMgTiO6,5.389081221
BaZrMgZrO6,6.96083831
BaZrNaNbO6,4.270644268
BaZrNaSbO6,5.526897153
BaZrNaTaO6,5.030675991
BaZrNaVO6,1.958775816
BaZrPbHfO6,5.798203095
BaZrPbTiO6,4.688503642
BaZrPbZrO6,5.739209581
BaZrRbNbO6,4.158490708
BaZrRbTaO6,4.904996208
BaZrSnHfO6,5.129425153
BaZrSnTiO6,4.11156648
BaZrSnZrO6,5.112918696
BaZrSrGeO6,6.035786095
BaZrSrHfO6,6.459207069
BaZrSrSiO6,6.576553008
BaZrSrSnO6,6.428286699
BaZrSrTiO6,4.67649105
BaZrSrZrO6,6.259867326
BaZrTlNbO6,2.79832233
BaZrTlTaO6,3.480467428
BaZrYAlO6,7.104402829
CaGeAgNbO6,4.220841195
CaGeCaSiO6,4.171278359
CaGeCaSnO6,3.503853221
CaGeCaTiO6,4.802428919
CaGeLaAlO6,5.708900913
CaGeLaGaO6,4.068071283
CaGeLaInO6,4.288775178
CaGeMgTiO6,5.224069822
CaGeSnTiO6,3.350439602
CaGeYAlO6,6.231533057
CaHfAgNbO6,4.219675653
CaHfAgTaO6,5.065212369
CaHfBaSnO6,6.318267248
CaHfBaTiO6,4.891229032
CaHfBaZrO6,6.78352084
CaHfCaGeO6,6.975336372
CaHfCaSiO6,7.339484884
CaHfCaSnO6,6.545899417
CaHfCaTiO6,5.2391328
CaHfCaZrO6,7.019655916
CaHfCsNbO6,4.18714751
CaHfCsVO6,2.234427829
CaHfGaNbO6,2.259002479
CaHfGaTaO6,3.12564489
CaHfInNbO6,1.454858937
CaHfInTaO6,2.03089957
CaHfKNbO6,4.596569242
CaHfKSbO6,5.501346172
CaHfLaAlO6,7.680848563
CaHfLaGaO6,7.195321372
CaHfLaInO6,6.615394048
CaHfLaScO6,7.286131811
CaHfLiNbO6,4.85855487
CaHfLiVO6,2.939415754
CaHfMgTiO6,5.757074701
CaHfMgZrO6,7.657304806
CaHfNaNbO6,5.09102671
CaHfNaSbO6,5.696946038
CaHfNaTaO6,5.899206132
CaHfNaVO6,2.576282825
CaHfPbHfO6,5.946077772
CaHfPbTiO6,4.343194061
CaHfPbZrO6,5.663239448
CaHfRbNbO6,4.347730015
CaHfSnHfO6,5.099139427
CaHfSnTiO6,3.395877585
CaHfSnZrO6,4.960405248
CaHfSrGeO6,6.296526494
CaHfSrHfO6,7.245106988
CaHfSrSiO6,7.311458271
CaHfSrSnO6,6.441396629
CaHfSrTiO6,5.063213848
CaHfSrZrO6,7.258641193
CaHfTlNbO6,2.785946526
CaHfTlTaO6,3.488495574
CaHfYAlO6,8.019541754
CaSiAgNbO6,3.835308947
CaSiCaSnO6,4.523794734
