formula,a,c,d_mx,d_ma,bulk modulus
Sc2AlC,3.297,15.04,1.242,2.517,88
Sc2AlN,3.217,14.53,1.231,2.401,107
Sc2SiC,3.301,13.95,1.242,2.247,106
Sc2SiN,3.219,13.5,1.231,2.143,128
Sc2PC,3.365,12.77,1.25,1.944,121
Sc2PN,3.403,11.89,1.236,1.737,137
Sc2SC,3.451,11.95,1.225,1.763,126
Sc2SN,3.368,11.79,1.192,1.755,141
Sc2GaC,3.306,14.7,1.24,2.433,89
Sc2GaN,3.232,14.11,1.23,2.298,110
Sc2GeC,3.324,14.06,1.235,2.279,103
Sc2GeN,3.244,13.63,1.218,2.19,122
Sc2AsC,3.38,13.26,1.229,2.086,113
Sc2AsN,3.376,12.55,1.216,1.921,131
Sc2CdC,3.324,15.63,1.23,2.678,73
Sc2CdN,3.248,15.12,1.217,2.563,92
Sc2InC,3.355,15.36,1.226,2.614,86
Sc2InN,3.279,14.9,1.202,2.524,102
Sc2SnC,3.38,14.87,1.211,2.507,93
Sc2SnN,3.306,14.48,1.184,2.437,110
Sc2TlC,3.375,15.31,1.221,2.607,84
Sc2TlN,3.304,14.86,1.193,2.523,102
Sc2PbC,3.411,15.1,1.198,2.577,87
Sc2PbN,3.342,14.68,1.166,2.504,101
Ti2AlC,3.071,13.73,1.147,2.286,138
Ti2AlN,2.999,13.63,1.165,2.243,155
Ti2SiC,3.057,12.85,1.179,2.034,169
Ti2SiN,2.99,12.83,1.188,2.019,183
Ti2PC,3.191,11.5,1.166,1.71,187
Ti2PN,3.161,11.34,1.122,1.712,200
Ti2SC,3.208,11.27,1.118,1.7,177
Ti2SN,3.202,11.06,1.051,1.715,181
Ti2GaC,3.083,13.43,1.143,2.215,139
Ti2GaN,3.016,13.33,1.154,2.178,159
Ti2GeC,3.093,13.01,1.157,2.097,152
Ti2GeN,3.042,12.94,1.154,2.081,167
Ti2AsC,3.195,12.12,1.138,1.892,169
Ti2AsN,3.201,11.72,1.086,1.844,181
Ti2CdC,3.106,14.54,1.127,2.509,116
Ti2CdN,3.082,14.15,1.088,2.45,130
Ti2InC,3.148,14.2,1.11,2.44,128
Ti2InN,3.095,14.05,1.111,2.401,138
Ti2SnC,3.18,13.79,1.111,2.335,135
Ti2SnN,3.18,13.46,1.045,2.32,136
Ti2TlC,3.177,14.22,1.098,2.457,125
Ti2TlN,3.167,13.85,1.044,2.418,129
Ti2PbC,3.231,14.01,1.08,2.423,119
Ti2PbN,3.239,13.65,0.998,2.415,121
V2AlC,2.914,13.11,1.119,2.159,175
V2AlN,2.877,13.13,1.122,2.16,180
V2SiC,2.965,11.96,1.114,1.877,211
V2SiN,2.944,12.02,1.083,1.922,209
V2PC,3.079,10.9,1.07,1.654,227
V2PN,3.046,11.03,1.038,1.72,229
V2SC,3.124,10.76,1.012,1.679,199
V2GaC,2.942,12.85,1.098,2.114,175
V2GaN,2.933,12.73,1.072,2.11,174
V2GeC,3.016,12.18,1.07,1.976,182
V2GeN,3.007,12.1,1.035,1.989,194
