A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,heat capacity
7.14221,4.37083,3.30265,0.1023,52.92,-0.2632,0.094,0.3573,465.3301,0.137341,22.005
9.27499,3.84435,2.71784,2.18,43.23,-0.2051,0.0505,0.2555,445.8144,0.075677,18.016
5.24096,3.07084,2.60289,1.9707,49.85,-0.2427,0.0794,0.3221,557.5787,0.117602,25.546
5.918,3.08345,2.40985,1.9146,56,-0.2444,0.0441,0.2885,564.5299,0.106988,23.611
11.5039,1.86186,1.69559,3.8224,41.37,-0.3057,-0.0259,0.2797,649.8622,0.060309,19.01
6.43371,2.81399,2.21821,1.6946,56.27,-0.2454,0.0378,0.2832,588.8624,0.107167,23.34
9.10592,4.2604,4.2604,0,41.73,-0.2495,0.0447,0.2942,367.7712,0.072528,15.634
3.95026,1.85752,1.43164,0.5991,67.04,-0.2393,0.0188,0.2581,904.2528,0.157266,31.926
6.6962,1.99188,1.56575,1.8384,68.21,-0.1961,0.0494,0.2455,805.9643,0.137493,26.255
3.9276,3.21907,1.80917,4.0475,62.88,-0.211,0.0372,0.2483,697.1187,0.126618,24.648
3.2778,2.35057,1.96982,2.5591,60.44,-0.2405,-0.0104,0.2301,764.3556,0.144105,31.978
10.15779,1.10653,1.00403,3.6118,62.85,-0.2917,-0.1061,0.1856,1047.2237,0.064928,23.6
6.92163,1.06106,0.96842,0.4474,65.05,-0.2482,0.0717,0.3199,1230.4102,0.169192,31.914
7.03993,1.47308,1.26905,0.9885,54.96,-0.2841,-0.0074,0.2767,860.1507,0.09046,25.146
6.89654,1.39031,1.17413,3.7987,58.42,-0.2665,-0.0582,0.2083,960.446,0.098147,26.65
4.1432,2.24218,1.53787,4.9929,52.08,-0.2585,0.0077,0.2663,747.7608,0.089346,25.588
4.12906,2.34613,1.95474,1.7358,62.67,-0.2515,0.0292,0.2807,719.5951,0.123209,26.942
3.77074,2.61256,1.80933,1.7933,57.34,-0.2466,-0.0235,0.2232,726.1598,0.122083,27.503
3.56857,2.86064,2.14937,1.9019,68.19,-0.2222,0.0866,0.3089,714.8329,0.160466,27.009
5.94632,1.41037,1.30468,1.4179,60.9,-0.2585,0.0711,0.3296,959.9123,0.146603,28.804
4.58846,2.32032,1.68173,1.762,65.34,-0.2416,0.0165,0.2581,761.2575,0.150411,25.872
3.57419,2.53247,1.82212,0.9851,57.86,-0.2511,-0.0299,0.2213,742.7165,0.122875,26.476
7.62133,1.28881,1.19164,0.9669,60.68,-0.244,0.0787,0.3227,1001.811,0.148088,27.053
5.3036,2.11392,1.86765,1.4581,57.47,-0.2244,0.0673,0.2918,717.7921,0.124295,25.285
4.51369,2.23839,1.49634,5.1121,51.59,-0.2644,-0.0498,0.2146,738.6691,0.077313,23
3.104,2.61951,1.72051,2.8513,65.17,-0.248,-0.0151,0.2329,787.0855,0.147133,28.076
15.2928,0.85536,0.82676,4.7237,62.62,-0.2675,0.0355,0.303,1323.7647,0.135647,27.808
4.25754,1.91117,1.47764,1.7896,67.17,-0.2393,0.0836,0.3229,891.4108,0.171016,29.013
6.92692,1.87275,1.50799,5.3865,64.89,-0.2072,-0.0281,0.1791,773.9363,0.115229,23.18
6.52104,1.77825,1.51661,2.8746,59.13,-0.241,0.0411,0.2821,822.9582,0.125167,26.171
3.76399,1.89874,1.60646,1.2562,67.5,-0.2439,0.0618,0.3056,879.543,0.170293,31.08
4.13485,3.4402,2.99423,1.7508,54.85,-0.2506,0.0837,0.3343,558.2522,0.128578,20.7
6.14629,2.14357,1.90492,2.0431,59.34,-0.2502,0.0427,0.2929,678.4733,0.100864,23.294
4.80577,2.59933,2.28442,4.8776,50.58,-0.2453,0.0078,0.2531,600.5321,0.090613,22.168
7.3854,2.09461,2.0073,4.2888,58.78,-0.2563,0.0014,0.2577,653.5389,0.103909,20.828
4.98738,2.18737,1.84251,1.8796,57.34,-0.2633,0.0778,0.3411,724.8937,0.124043,24.969
3.74973,3.33123,1.78369,0.5157,55.53,-0.2077,0.0293,0.2371,670.0325,0.102681,24.496
7.71533,2.03301,1.62567,1.129,55.57,-0.2091,0.0238,0.2329,724.2358,0.103805,22.56
5.70645,3.2616,2.21508,0.8069,40.62,-0.2886,-0.1401,0.1485,509.6496,0.028773,18.268
3.32752,1.32031,1.0106,2.3826,66.14,-0.2489,-0.0553,0.1935,1090.1851,0.091529,29.522
3.03359,1.92201,1.19605,1.953,73.57,-0.1831,-0.0051,0.178,973.6951,0.130823,29.391
